index_code,con_code,trade_date,weight
399300.SZ,600276.SH,20200102,1.9426
399300.SZ,000858.SZ,20200102,1.8344
399300.SZ,600030.SH,20200102,1.4357
399300.SZ,600887.SH,20200102,1.3853
399300.SZ,000002.SZ,20200102,1.3595
399300.SZ,000001.SZ,20200102,1.1714
399300.SZ,600900.SH,20200102,1.1631
399300.SZ,600016.SH,20200102,1.1298
399300.SZ,601328.SH,20200102,1.1168
399300.SZ,600000.SH,20200102,1.0477
399300.SZ,601288.SH,20200102,1.0226
399300.SZ,601398.SH,20200102,0.9215
399300.SZ,300498.SZ,20200102,0.913
399300.SZ,002415.SZ,20200102,0.9071
399300.SZ,600837.SH,20200102,0.9051
399300.SZ,601668.SH,20200102,0.8876
399300.SZ,601601.SH,20200102,0.8746
399300.SZ,002475.SZ,20200102,0.8636
399300.SZ,600048.SH,20200102,0.833
399300.SZ,600585.SH,20200102,0.7986
399300.SZ,000725.SZ,20200102,0.782
399300.SZ,600031.SH,20200102,0.7574
399300.SZ,601688.SH,20200102,0.6429
399300.SZ,601888.SH,20200102,0.6291
399300.SZ,600309.SH,20200102,0.6279
399300.SZ,603288.SH,20200102,0.6261
399300.SZ,300059.SZ,20200102,0.6113
399300.SZ,601169.SH,20200102,0.6069
399300.SZ,600104.SH,20200102,0.6062
399300.SZ,000063.SZ,20200102,0.6036
399300.SZ,601211.SH,20200102,0.6025
399300.SZ,002142.SZ,20200102,0.586
399300.SZ,002714.SZ,20200102,0.5682
399300.SZ,601988.SH,20200102,0.5611
399300.SZ,000338.SZ,20200102,0.5542
399300.SZ,600009.SH,20200102,0.5334
399300.SZ,600690.SH,20200102,0.5244
399300.SZ,601818.SH,20200102,0.5071
399300.SZ,601766.SH,20200102,0.5042
399300.SZ,601012.SH,20200102,0.5013
399300.SZ,600028.SH,20200102,0.495
399300.SZ,601229.SH,20200102,0.4849
399300.SZ,603259.SH,20200102,0.4811
399300.SZ,600919.SH,20200102,0.4805
399300.SZ,002027.SZ,20200102,0.4801
399300.SZ,002304.SZ,20200102,0.4769
399300.SZ,601899.SH,20200102,0.4673
399300.SZ,001979.SZ,20200102,0.4605
399300.SZ,000568.SZ,20200102,0.4478
399300.SZ,000661.SZ,20200102,0.4432
399300.SZ,000100.SZ,20200102,0.4424
399300.SZ,601088.SH,20200102,0.4388
399300.SZ,601628.SH,20200102,0.4166
399300.SZ,601857.SH,20200102,0.4081
399300.SZ,600050.SH,20200102,0.4024
399300.SZ,002230.SZ,20200102,0.3859
