trade_date,factor,ic,rank_ic
2021-08-03,factor_reversal_5d,0.37845628667067,0.46099290780141844
2021-08-04,factor_reversal_5d,0.07329812801305571,0.16805427073697193
2021-08-05,factor_reversal_5d,0.1317343768111554,0.211840888066605
2021-08-06,factor_reversal_5d,0.12997224912452418,0.22368177613321
2021-08-09,factor_reversal_5d,0.059847693276914776,0.09133518347209374
2021-08-10,factor_reversal_5d,-0.09960839458462438,-0.09318532223250076
2021-08-11,factor_reversal_5d,-0.03482142737968648,-0.07986432315757014
2021-08-12,factor_reversal_5d,-0.32114906260313536,-0.32260252852297255
2021-08-13,factor_reversal_5d,-0.16670162272386105,-0.24415664508171442
2021-08-16,factor_reversal_5d,-0.07666343062054279,-0.12007400555041627
2021-08-17,factor_reversal_5d,-0.19339661261286523,-0.12735121800801727
2021-08-18,factor_reversal_5d,-0.359823398056021,-0.29472710453283996
2021-08-19,factor_reversal_5d,-0.018227175640135318,0.07807826331998624
2021-08-20,factor_reversal_5d,0.002938067787602555,0.05235892691951896
2021-08-23,factor_reversal_5d,-0.22158094202210613,-0.11168670983657107
2021-08-24,factor_reversal_5d,-0.28036103430719633,-0.21961147086031452
2021-08-25,factor_reversal_5d,-0.05368035088855792,-0.09244526672833794
2021-08-26,factor_reversal_5d,0.0260152149421662,0.01991982732038236
2021-08-27,factor_reversal_5d,-0.022381677859427296,0.07043078729180435
2021-08-30,factor_reversal_5d,0.20754567878458982,0.18125192722787545
2021-08-31,factor_reversal_5d,0.27293318407757494,0.28152944804193647
2021-09-01,factor_reversal_5d,0.05829181536014126,0.07067748006690698
2021-09-02,factor_reversal_5d,0.18051292628236065,0.21628789057124154
2021-09-03,factor_reversal_5d,-0.02247594186243128,0.0006783842121492445
2021-09-06,factor_reversal_5d,0.015077763922200692,-0.03731113166820845
2021-09-07,factor_reversal_5d,0.07643707716288134,0.001233463875513211
2021-09-08,factor_reversal_5d,0.4079086431614454,0.3762565525747764
2021-09-09,factor_reversal_5d,0.32652401966420364,0.1856922602528523
2021-09-10,factor_reversal_5d,0.39235081347288114,0.4000616712920136
2021-09-13,factor_reversal_5d,0.44325210396360454,0.4785075547332716
2021-09-14,factor_reversal_5d,0.22971408197690912,0.2707986432315757
2021-09-15,factor_reversal_5d,0.420104625199116,0.4431082331174838
2021-09-16,factor_reversal_5d,0.1331791131628832,0.16891766882516188
2021-09-17,factor_reversal_5d,-0.007550046177086666,0.031514030218933085
2021-09-22,factor_reversal_5d,-0.13104770484259087,-0.08097440641381437
2021-09-23,factor_reversal_5d,0.08647516119516736,0.1836627710639171
2021-09-24,factor_reversal_5d,-0.2297096949916808,-0.23342584027135369
2021-09-27,factor_reversal_5d,-0.1818224234319668,-0.1886524822695035
2021-09-28,factor_reversal_5d,0.032544920550624135,-0.06493987049028677
2021-09-29,factor_reversal_5d,-0.01868761702056325,0.023065774472097046
2021-09-30,factor_reversal_5d,-0.09953483231695842,-0.08418131359851988
2021-10-08,factor_reversal_5d,-0.08633655244161473,-0.11403021893308664
2021-10-11,factor_reversal_5d,0.13235575291371296,0.10061690793267185
2021-10-12,factor_reversal_5d,0.09973498477263605,0.09565217391304348
2021-10-13,factor_reversal_5d,0.08956175522128232,0.052975639839654635
2021-10-14,factor_reversal_5d,-0.003722761663878027,-0.032500770891150166
2021-10-15,factor_reversal_5d,0.06771958207520129,0.09182855380820228
2021-10-18,factor_reversal_5d,0.2680243394088977,0.05976132476861507
2021-10-19,factor_reversal_5d,0.2439151943114554,-0.04132358854456498
2021-10-20,factor_reversal_5d,0.14334673720013147,-0.08344125809435707
2021-10-21,factor_reversal_5d,0.06302844653778775,-0.00955905026210299
2021-10-22,factor_reversal_5d,-0.10592759196268113,-0.09589885908109774
2021-10-25,factor_reversal_5d,-0.41682210748343423,-0.33086648165279064
2021-10-26,factor_reversal_5d,-0.3467392301911429,-0.2244218316373728
2021-10-27,factor_reversal_5d,-0.29102554165706845,-0.2293555349984582
2021-10-28,factor_reversal_5d,-0.45294396666300224,-0.3181621954979957
2021-10-29,factor_reversal_5d,-0.18800007180778217,-0.10379598512443668
2021-11-01,factor_reversal_5d,-0.03523399531678575,-0.04804193647856922
2021-11-02,factor_reversal_5d,0.11176964194876957,0.148072772124576
2021-11-03,factor_reversal_5d,0.22652451866942613,0.34394079555966695
2021-11-04,factor_reversal_5d,0.2542055285449892,0.3465309898242368
2021-11-05,factor_reversal_5d,0.18427851023760683,0.3053345667591736
2021-11-08,factor_reversal_5d,0.11326447181736404,0.15362318840579708
2021-11-09,factor_reversal_5d,-0.030813836056900905,-0.028060437866173293
2021-11-10,factor_reversal_5d,-0.009214249818190287,0.0026518655565834106
2021-11-11,factor_reversal_5d,0.14306219791507094,0.24131976564909033
2021-11-12,factor_reversal_5d,0.19588003786797548,0.23725677645496612
2021-11-15,factor_reversal_5d,0.3157648098175034,0.32987974098057354
2021-11-16,factor_reversal_5d,0.18129788324875518,0.16028368794326242
2021-11-17,factor_reversal_5d,0.12809144349736745,0.14424915201973482
2021-11-18,factor_reversal_5d,0.16146532286739546,0.22812210915818684
2021-11-19,factor_reversal_5d,-0.15266558296519098,-0.16585456241654561
2021-11-22,factor_reversal_5d,-0.2999628796605828,-0.278331123509556
2021-11-23,factor_reversal_5d,-0.16541510166613763,-0.14722753458099455
